timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-07-13,214277.64082800,215153.74116400,212619.99267600,213722.63048800,33086.94000000,33222.22000000,32830.98000000,33001.24000000,1910.13371900,1910.13371900
2021-07-12,221868.13580000,224584.44836600,211501.94150800,214275.63320600,34259.00000000,34678.43000000,32658.34000000,33086.63000000,48181.40376200,48181.40376200
2021-07-11,216971.28669400,224503.94920000,215699.36101400,221868.07103800,33502.87000000,34666.00000000,33306.47000000,34258.99000000,31572.64744800,31572.64744800
2021-07-10,218997.94872200,221887.56440000,213745.55623600,216971.28669400,33815.81000000,34262.00000000,33004.78000000,33502.87000000,34761.17546800,34761.17546800
2021-07-09,212909.67310200,220838.42000000,208929.14153400,218997.94872200,32875.71000000,34100.00000000,32261.07000000,33815.81000000,47153.93989900,47153.93989900
2021-07-08,219297.79678200,219735.13456800,207737.06740000,212909.67310200,33862.11000000,33929.64000000,32077.00000000,32875.71000000,70136.48032000,70136.48032000
2021-07-07,221615.69352400,227049.67865800,218751.59407400,219297.86154400,34220.02000000,35059.09000000,33777.77000000,33862.12000000,53807.52167500,53807.52167500
2021-07-06,218184.14943000,227436.89065600,217159.93840000,221615.62876200,33690.15000000,35118.88000000,33532.00000000,34220.01000000,58210.59634900,58210.59634900
2021-07-05,228532.98750600,228569.57803600,214527.68691000,218184.08466800,35288.13000000,35293.78000000,33125.55000000,33690.14000000,64123.87424500,64123.87424500
2021-07-04,224524.15494400,232934.99017000,222503.77483000,228522.49606200,34669.12000000,35967.85000000,34357.15000000,35286.51000000,43703.47578900,43703.47578900
2021-07-03,218808.39034800,226314.75948200,215765.80682600,224524.21970600,33786.54000000,34945.61000000,33316.73000000,34669.13000000,43044.57864100,43044.57864100
2021-07-02,216967.78954600,220042.10644800,211765.26380000,218808.45511000,33502.33000000,33977.04000000,32699.00000000,33786.55000000,56172.18137800,56172.18137800
2021-07-01,226958.42900000,227039.83483400,211842.97820000,216983.07337800,35045.00000000,35057.57000000,32711.00000000,33504.69000000,71708.26611200,71708.26611200
2021-06-30,232571.48106400,233790.82000000,220304.45731000,226958.42900000,35911.72000000,36100.00000000,34017.55000000,35045.00000000,77152.19763400,77152.19763400
2021-06-29,223395.80661800,237028.92000000,221650.72976600,232571.54582600,34494.89000000,36600.00000000,34225.43000000,35911.73000000,90788.79622000,90788.79622000
2021-06-28,224740.26573800,228595.02950200,219301.74726400,223395.80661800,34702.49000000,35297.71000000,33862.72000000,34494.89000000,82222.26781900,82222.26781900
2021-06-27,209075.37413000,225041.47380000,207066.45689000,224726.34190800,32283.65000000,34749.00000000,31973.45000000,34700.34000000,96613.24421100,96613.24421100
