"","timestamp","ETH_Close","BTC_Close","breakeven_inflation","BTC_Energy","ETH_Energy"
"1",2021-07-12,2031.58,33086.63,2.48,135.117366,55.88335347
"2",2021-07-12,2031.58,33086.63,2.52,135.117366,55.88335347
"3",2021-07-12,2031.58,33086.63,2.6,135.117366,55.88335347
"4",2021-07-09,2146.99,33815.81,2.44,135.117366,55.44472419
"5",2021-07-08,2116.33,32875.71,2.38,135.117366,55.28393461
"6",2021-07-07,2316.57,33862.12,2.43,135.117366,55.00698686
"7",2021-07-06,2322.5,34220.01,2.48,135.117366,54.81053391
"8",2021-07-05,2196.53,33690.14,2.49,135.117366,54.62877791
"9",2021-07-02,2154.13,33786.55,2.49,134.0609134,54.17261225
"10",2021-07-01,2106.41,33504.69,2.49,134.0609134,53.92240743
"11",2021-06-30,2275.68,35045,2.47,134.0609134,53.76606435
"12",2021-06-29,2165.33,35911.73,2.46,133.688898,53.6072576
"13",2021-06-28,2084.41,34494.89,2.45,132.887687,53.45111308
"14",2021-06-25,1808.82,31584.45,2.46,132.2552675,52.94392625
"15",2021-06-24,1989.52,34663.09,2.45,132.0837356,52.81290679
"16",2021-06-23,1968.14,33678.07,2.49,131.803524,52.67600401
"17",2021-06-22,1879.28,32509.56,2.46,131.1564836,52.51823496
"18",2021-06-21,1885.49,31608.93,2.41,131.1157526,52.34957232
"19",2021-06-18,2234.09,35819.84,2.37,130.4818075,51.78595381
"20",2021-06-17,2373.28,38092.97,2.31,130.1648442,51.62174965
"21",2021-06-16,2367.89,38349.01,2.41,129.5597704,51.44710686
"22",2021-06-15,2543.54,40144.04,2.46,129.2129683,51.27069424
"23",2021-06-14,2580.77,40516.29,2.44,128.8601573,51.08070233
"24",2021-06-11,2354.01,37331.98,2.43,127.872033,50.45884527
"25",2021-06-10,2471.09,36675.72,2.47,127.5467458,50.28189664
"26",2021-06-09,2610.18,37388.05,2.41,127.2220178,50.096425
"27",2021-06-08,2507.23,33380.81,2.47,126.6621917,49.90280036
"28",2021-06-07,2592.05,33552.79,2.51,126.39401,49.61140202
"29",2021-06-04,2689.51,36829,2.54,125.4523622,49.01920689
"30",2021-06-03,2857.25,39246.79,2.56,125.1206974,48.80696294
"31",2021-06-02,2706.22,37568.68,2.59,124.7733293,48.48417396
"32",2021-06-01,2634.57,36693.09,2.6,124.4424573,48.47077409
"33",2021-05-31,2706.15,37253.81,2.58,124.1223955,48.36725573
"34",2021-05-28,2412.1,35663.49,2.57,122.9193432,49.31845997
"35",2021-05-27,2742.23,38529.98,2.59,122.5891859,50.16016427
"36",2021-05-26,2884.94,39241.91,2.6,122.2234496,50.99604641
"37",2021-05-25,2705.11,38324.72,2.63,121.8561935,51.61670675
"38",2021-05-24,2648.43,38796.29,2.64,121.5062965,52.26828302
"39",2021-05-21,2430.98,37252.01,2.62,120.0862709,51.4373093
"40",2021-05-20,2768.62,40526.64,2.59,119.6828066,51.12718403
"41",2021-05-19,2438.92,36690.09,2.66,119.3007506,50.61739205
"42",2021-05-18,3375.07,42849.78,2.72,118.9374014,50.0867063
"43",2021-05-17,3282.51,43538.04,2.72,118.515073,49.57019285
"44",2021-05-14,4075.01,49841.45,2.68,117.1122541,48.22477657
"45",2021-05-13,3717.91,49670.97,2.65,116.3599257,47.64567572
"46",2021-05-12,3823.21,49631.32,2.72,115.8455066,46.94690085
"47",2021-05-11,4173.45,56670.02,2.68,115.257593,45.89810506
"48",2021-05-10,3945.88,55816.14,2.71,114.6748518,44.94339444
"49",2021-05-07,3479.53,57314.75,2.65,112.8597634,43.16672928
"50",2021-05-06,3489.73,56393.68,2.66,112.2626657,42.77671046
"51",2021-05-05,3524.26,57436.11,2.68,111.6653388,42.41983621
"52",2021-05-04,3239.01,53200.01,2.62,110.8602839,41.97122701
"53",2021-05-03,3431.04,57169.39,2.6,110.2939625,41.59946248
"54",2021-04-30,2772.42,57694.27,2.57,108.4870006,40.70840585
"55",2021-04-29,2757.04,53555,2.56,107.9660586,40.42144371
"56",2021-04-28,2748.24,54846.22,2.54,107.4796476,40.11433518
"57",2021-04-27,2666.13,55011.97,2.51,106.987147,39.7303894
"58",2021-04-26,2532.6,54001.39,2.47,106.4130656,39.46078914
"59",2021-04-23,2367.39,51125.14,2.44,104.8756984,38.72253113
"60",2021-04-22,2397.94,51690.96,2.42,104.3676605,38.39846925
"61",2021-04-21,2357.06,53787.63,2.53,103.7759948,38.02862775
"62",2021-04-20,2330.03,56425,2.52,103.2285007,37.52195265
"63",2021-04-19,2161.12,55633.14,2.56,102.7195774,37.13598616
"64",2021-04-16,2422.67,61334.8,2.57,100.8503008,36.13759883
"65",2021-04-15,2514.04,63159.98,2.55,100.2424695,35.80732102
"66",2021-04-14,2432.6,62959.53,2.56,99.63377158,35.50202301
"67",2021-04-13,2299.19,63575,2.54,99.03626264,35.11007923
"68",2021-04-12,2137.69,59860,2.52,98.44049969,34.83580657
"69",2021-04-09,2066.87,58142.54,2.51,96.55339757,34.09558164
"70",2021-04-08,2080.46,58077.52,2.55,95.87832065,33.78056552
"71",2021-04-07,1963.47,55953.45,2.53,95.45320163,33.56992296
"72",2021-04-06,2112.21,57991.15,2.52,94.91681272,33.2153513
"73",2021-04-05,2107.38,59129.99,2.55,94.37768368,32.91606393
"74",2021-04-02,2133.69,58950.01,2.58,92.74714705,32.08396602
"75",2021-04-01,1968.05,58720.44,2.55,92.18242578,31.77210251
"76",2021-03-31,1919.37,58740.55,2.54,91.51698769,31.44775927
"77",2021-03-30,1840.46,58746.57,2.52,90.95617696,31.09819541
"78",2021-03-29,1816.74,57635.47,2.56,90.40139094,30.84368128
"79",2021-03-26,1698.84,55025.59,2.57,88.80799881,30.21596961
"80",2021-03-25,1585.74,51293.78,2.54,88.29034427,29.99869412
"81",2021-03-24,1581.84,52303.65,2.53,87.80003489,29.75040668
"82",2021-03-23,1668.08,54340.89,2.48,87.16815463,29.48174648
"83",2021-03-22,1680.97,54083.25,2.51,86.64972065,29.23968281
"84",2021-03-19,1809.1,58030.01,2.51,84.96178779,28.54265617
"85",2021-03-18,1776.08,57648.16,2.5,84.3811535,28.29118112
"86",2021-03-17,1823.58,58912.97,2.58,83.79652494,28.02521211
"87",2021-03-16,1805.12,56900.75,2.59,83.22684564,27.71517755
"88",2021-03-15,1793.48,55605.2,2.54,82.68323266,27.45623781
"89",2021-03-12,1766.1,57221.72,2.51,80.79129263,26.70389553
"90",2021-03-11,1825.78,57773.16,2.51,80.21217037,26.46982458
"91",2021-03-10,1795.12,55851.59,2.47,79.62548351,26.21698046
"92",2021-03-09,1870.51,54884.5,2.41,79.06038903,25.99968867
"93",2021-03-08,1833.18,52375.17,2.42,78.53225725,25.77194168
"94",2021-03-05,1528.31,48751.71,2.43,77.78218074,25.19422321
"95",2021-03-04,1539.23,48374.09,2.43,77.78218074,25.01717435
"96",2021-03-03,1567.69,50349.37,2.45,77.78218074,24.79526868
"97",2021-03-02,1486.78,48440.65,2.43,77.78218074,24.61128531
"98",2021-03-01,1569.86,49587.03,2.4,77.78218074,24.43210341
"99",2021-02-26,1444.59,46276.87,2.39,77.78218074,23.92733617
"100",2021-02-25,1481.75,47073.73,2.34,77.78218074,23.72552124
"101",2021-02-24,1623.39,49676.2,2.38,77.78218074,23.45701737
"102",2021-02-23,1577.89,48891,2.35,77.78218074,23.16832813
"103",2021-02-22,1777.58,54087.67,2.35,77.78218074,22.79734204
"104",2021-02-19,1955,55906,2.29,77.78218074,21.93455606
"105",2021-02-18,1939.61,51552.6,2.29,77.78218074,21.60555856
"106",2021-02-17,1849.88,52119.71,2.35,77.78218074,21.31768507
"107",2021-02-16,1781.99,49133.45,2.37,77.78218074,21.06541409
"108",2021-02-15,1779.25,47911.1,2.36,77.78218074,20.81574617
"109",2021-02-12,1840.26,47287.6,2.35,77.78218074,20.04059835
"110",2021-02-11,1785.62,47969.51,2.32,77.78218074,19.74586213
"111",2021-02-10,1740.78,44807.58,2.31,77.78218074,19.49201168
"112",2021-02-09,1769.13,46420.42,2.31,77.78218074,19.20342839
"113",2021-02-08,1750.15,46374.87,2.31,77.78218074,18.90287297
"114",2021-02-05,1719.19,38290.24,2.28,77.78218074,18.17016213
"115",2021-02-04,1595.67,36936.66,2.25,77.78218074,17.84283488
"116",2021-02-03,1664.49,37618.87,2.27,77.78218074,17.57797811
"117",2021-02-02,1511.87,35466.24,2.23,77.78218074,17.3515853
"118",2021-02-01,1374.17,33526.37,2.18,77.78218074,17.14739285
"119",2021-01-29,1379.5,34252.2,2.21,77.78218074,16.74565038
"120",2021-01-28,1329.69,33364.86,2.18,77.78218074,16.63617652
"121",2021-01-27,1239.03,30366.15,2.15,77.78218074,16.52121796
"122",2021-01-26,1365.97,32467.77,2.15,77.78218074,16.41509507
"123",2021-01-25,1317.88,32254.2,2.15,77.78218074,16.35922385
"124",2021-01-22,1232.62,32945.17,2.16,77.78218074,16.22703195
"125",2021-01-21,1110.96,30850.13,2.18,77.78218074,16.14490082
"126",2021-01-20,1376.99,35468.23,2.15,77.78218074,16.03013361
"127",2021-01-19,1365.36,35891.49,2.12,77.78218074,15.88631199
"128",2021-01-15,1168.53,36742.22,2.09,77.78218074,15.70474599
"129",2021-01-14,1231.62,39144.5,2.09,77.78218074,15.85416698
"130",2021-01-13,1129.89,37371.38,2.04,77.78218074,15.9225005
"131",2021-01-12,1050.16,34051.24,2.06,77.78218074,16.0013593
"132",2021-01-11,1087.01,35404.47,2.04,77.78218074,16.08730122
"133",2021-01-08,1216.93,40582.81,2.07,77.78218074,15.67081135
"134",2021-01-07,1224.87,39432.28,2.09,77.78218074,15.55372584
"135",2021-01-06,1208.42,36769.36,2.04,77.78218074,15.42972906
